m = 
1 2 3 0 0 = columns for wave, Re(n), Im(n), eps1, eps2
   LAMBDA     Re(N)     Im(N)
  0.002267    0.9982    0.0010
  0.002271    0.9982    0.0011
  0.002273    0.9983    0.0011
  0.002275    0.9984    0.0011
  0.002279    0.9984    0.0009
  0.002283    0.9984    0.0009
  0.002288    0.9983    0.0009
  0.002292    0.9983    0.0009
  0.002296    0.9981    0.0010
  0.002300    0.9981    0.0014
  0.002305    0.9985    0.0019
  0.002306    0.9989    0.0020
  0.002308    0.9993    0.0018
  0.002310    0.9996    0.0013
  0.002311    0.9996    0.0009
  0.002313    0.9994    0.0007
  0.002315    0.9993    0.0006
  0.002317    0.9992    0.0005
  0.002318    0.9991    0.0004
  0.002320    0.9990    0.0004
  0.002322    0.9990    0.0004
  0.002326    0.9988    0.0004
  0.002331    0.9988    0.0003
  0.002335    0.9987    0.0003
  0.002339    0.9986    0.0003
  0.002344    0.9986    0.0003
  0.002346    0.9986    0.0003
  0.002348    0.9986    0.0003
  0.002349    0.9986    0.0003
  0.002362    0.9984    0.0003
  0.002384    0.9983    0.0003
  0.002480    0.9979    0.0003
  0.002583    0.9976    0.0004
  0.002695    0.9974    0.0004
  0.002818    0.9971    0.0005
  0.002952    0.9967    0.0006
  0.003100    0.9963    0.0007
  0.003263    0.9959    0.0008
  0.003444    0.9954    0.0010
  0.003647    0.9948    0.0012
  0.003875    0.9942    0.0014
  0.004133    0.9934    0.0017
  0.004275    0.9929    0.0019
  0.004428    0.9924    0.0022
  0.004592    0.9919    0.0024
  0.004769    0.9913    0.0027
  0.004959    0.9906    0.0031
  0.005166    0.9898    0.0035
  0.005391    0.9890    0.0040
  0.005636    0.9882    0.0046
  0.005904    0.9872    0.0053
  0.006199    0.9860    0.0061
  0.006358    0.9854    0.0066
  0.006525    0.9848    0.0071
  0.006702    0.9841    0.0076
  0.006888    0.9833    0.0083
  0.006965    0.9830    0.0086
  0.007045    0.9827    0.0089
  0.007085    0.9826    0.0091
  0.007101    0.9826    0.0092
  0.007126    0.9826    0.0092
  0.007167    0.9824    0.0094
  0.007208    0.9823    0.0095
  0.007251    0.9822    0.0096
  0.007293    0.9820    0.0097
  0.007336    0.9818    0.0098
  0.007380    0.9816    0.0100
  0.007424    0.9814    0.0102
  0.007469    0.9812    0.0104
  0.007514    0.9810    0.0106
  0.007560    0.9809    0.0109
  0.007583    0.9809    0.0110
  0.007606    0.9809    0.0111
  0.007653    0.9807    0.0112
  0.007701    0.9805    0.0113
  0.007749    0.9803    0.0115
  0.007798    0.9801    0.0117
  0.007847    0.9798    0.0119
  0.007867    0.9797    0.0121
  0.007887    0.9795    0.0123
  0.007907    0.9795    0.0126
  0.007927    0.9796    0.0128
  0.007948    0.9797    0.0131
  0.007968    0.9800    0.0132
  0.007989    0.9803    0.0132
  0.008009    0.9804    0.0128
  0.008030    0.9803    0.0126
  0.008051    0.9801    0.0125
  0.008104    0.9797    0.0125
  0.008157    0.9793    0.0126
  0.008211    0.9790    0.0128
  0.008266    0.9787    0.0130
  0.008321    0.9784    0.0133
  0.008377    0.9782    0.0135
  0.008434    0.9779    0.0137
  0.008492    0.9777    0.0139
  0.008504    0.9776    0.0139
  0.008551    0.9774    0.0141
  0.008856    0.9761    0.0154
  0.009184    0.9744    0.0169
  0.009537    0.9723    0.0191
  0.009611    0.9719    0.0198
  0.009686    0.9715    0.0205
  0.009763    0.9711    0.0214
  0.009840    0.9711    0.0226
  0.009919    0.9716    0.0235
  0.009951    0.9719    0.0238
  0.009999    0.9722    0.0237
  0.010163    0.9725    0.0241
  0.010332    0.9722    0.0238
  0.010419    0.9714    0.0236
  0.010507    0.9703    0.0244
  0.010597    0.9694    0.0252
  0.010688    0.9688    0.0268
  0.010781    0.9688    0.0282
  0.010876    0.9695    0.0299
  0.010972    0.9710    0.0303
  0.011011    0.9714    0.0299
  0.011070    0.9714    0.0294
  0.011170    0.9705    0.0291
  0.011271    0.9694    0.0298
  0.011375    0.9686    0.0308
  0.011480    0.9666    0.0321
  0.011587    0.9657    0.0377
  0.011697    0.9708    0.0449
  0.011741    0.9765    0.0463
  0.011808    0.9833    0.0412
  0.011922    0.9830    0.0308
  0.012037    0.9784    0.0281
  0.012155    0.9756    0.0277
  0.012276    0.9739    0.0281
  0.012398    0.9726    0.0280
  0.012524    0.9711    0.0285
  0.012651    0.9700    0.0291
